Country/Territory,Region,cluster
Afghanistan,Middle East and North Africa,6
Albania,Europe,5
Algeria,Middle East and North Africa,5
Andorra,Europe,5
Angola,Africa,2
Antigua and Barbuda,North America and Caribbean,1
Argentina,South and Central America,3
Armenia,Europe,5
Aruba,North America and Caribbean,6
Australia,Western Pacific,3
Austria,Europe,5
Azerbaijan,Europe,3
Bahrain,Middle East and North Africa,4
Bangladesh,South-East Asia,6
Barbados,North America and Caribbean,1
Belarus,Europe,3
Belgium,Europe,3
Belize,North America and Caribbean,1
Benin,Africa,2
Bermuda,North America and Caribbean,1
Bhutan,South-East Asia,5
Bosnia and Herzegovina,Europe,6
Botswana,Africa,3
Brazil,South and Central America,6
British Virgin Islands,North America and Caribbean,1
Bulgaria,Europe,5
Burkina Faso,Africa,2
Burundi,Africa,2
Cambodia,Western Pacific,2
Cameroon,Africa,3
Canada,North America and Caribbean,5
Cayman Islands,North America and Caribbean,1
Central African Republic,Africa,3
Chad,Africa,3
Channel Islands,Europe,3
Chile,South and Central America,6
China,Western Pacific,6
Colombia,South and Central America,5
Comoros,Africa,6
Costa Rica,South and Central America,6
Croatia,Europe,3
Cuba,South and Central America,6
Cyprus,Europe,6
Denmark,Europe,5
Djibouti,Africa,3
Dominica,North America and Caribbean,1
Dominican Republic,South and Central America,6
Ecuador,South and Central America,3
El Salvador,South and Central America,6
Equatorial Guinea,Africa,3
Eritrea,Africa,2
Estonia,Europe,3
Ethiopia,Africa,2
Fiji,Western Pacific,1
Finland,Europe,3
France,Europe,3
French Polynesia,Western Pacific,4
Gabon,Africa,5
Georgia,Europe,3
Germany,Europe,5
Ghana,Africa,2
Greece,Europe,3
Grenada,North America and Caribbean,6
Guam,Western Pacific,4
Guatemala,South and Central America,6
Guinea,Africa,2
Guyana,North America and Caribbean,1
Haiti,North America and Caribbean,5
Honduras,South and Central America,5
Hungary,Europe,5
Iceland,Europe,3
India,South-East Asia,6
Indonesia,Western Pacific,3
Iraq,Middle East and North Africa,6
Ireland,Europe,2
Israel,Europe,5
Italy,Europe,3
Jamaica,North America and Caribbean,1
Japan,Western Pacific,3
Jordan,Middle East and North Africa,1
Kazakhstan,Europe,3
Kenya,Africa,2
Kiribati,Western Pacific,4
Kuwait,Middle East and North Africa,4
Latvia,Europe,3
Lebanon,Middle East and North Africa,1
Lesotho,Africa,2
Liberia,Africa,2
Libya,Middle East and North Africa,6
Liechtenstein,Europe,5
Lithuania,Europe,3
Luxembourg,Europe,3
Madagascar,Africa,2
Malawi,Africa,2
Malaysia,Western Pacific,4
Maldives,South-East Asia,6
Mali,Africa,2
Malta,Europe,5
Marshall Islands,Western Pacific,4
Mauritania,Africa,2
Mauritius,South-East Asia,4
Mexico,North America and Caribbean,1
Monaco,Europe,3
Mongolia,Western Pacific,3
Montenegro,Europe,6
Morocco,Middle East and North Africa,5
Mozambique,Africa,2
Myanmar,Western Pacific,3
Namibia,Africa,3
Nauru,Western Pacific,4
Nepal,South-East Asia,3
Netherlands,Europe,3
New Caledonia,Western Pacific,4
New Zealand,Western Pacific,5
Nicaragua,South and Central America,6
Niger,Africa,2
Nigeria,Africa,2
Norway,Europe,3
Oman,Middle East and North Africa,1
Pakistan,Middle East and North Africa,1
Palau,Western Pacific,4
Panama,South and Central America,6
Papua New Guinea,Western Pacific,1
Paraguay,South and Central America,5
Peru,South and Central America,3
Philippines,Western Pacific,5
Poland,Europe,5
Portugal,Europe,6
Puerto Rico,South and Central America,1
Qatar,Middle East and North Africa,4
Romania,Europe,5
Rwanda,Africa,2
Samoa,Western Pacific,6
San Marino,Europe,3
Sao Tome and Principe,Africa,2
Saudi Arabia,Middle East and North Africa,4
Senegal,Africa,2
Serbia,Europe,6
Seychelles,Africa,1
Sierra Leone,Africa,2
Singapore,Western Pacific,6
Slovenia,Europe,5
Solomon Islands,Western Pacific,4
Somalia,Africa,3
South Africa,Africa,5
Spain,Europe,5
Sri Lanka,South-East Asia,6
Sudan,Middle East and North Africa,1
Suriname,North America and Caribbean,1
Sweden,Europe,3
Switzerland,Europe,3
Tajikistan,Europe,3
Thailand,Western Pacific,5
Togo,Africa,2
Tonga,Western Pacific,1
Trinidad and Tobago,North America and Caribbean,1
Tunisia,Middle East and North Africa,6
Turkey,Europe,1
Turkmenistan,Europe,3
Tuvalu,Western Pacific,4
Uganda,Africa,2
Ukraine,Europe,3
United Arab Emirates,Middle East and North Africa,4
United Kingdom,Europe,3
Uruguay,South and Central America,5
Uzbekistan,Europe,3
Vanuatu,Western Pacific,1
Zambia,Africa,3
Zimbabwe,Africa,2
